"","country","year","N","sop_om","sop_osd","spp_om","spp_osd","oop_om","oop_osd","female","age","email","doi"
"1","UK",2014,423,70.66,17.33,43.15,6.47,59.89,9.83,346,19.98,"pascal.forsman647@somemail.com","10.53840/abc.def"
"2","CAN",1996,345,64.07,15.65,49.63,21.5,49.34,10.91,257,19.63,"erica.laalo115@somemail.com","10.42915/abc.def"
"3","UK",2007,291,69.88,20.87,45.85,22.63,56.37,13.83,284,21.77,"jen.underbeck802@somemail.com","10.26633/abc.def"
"4","CAN",2013,450,63.78,17.61,55.16,6.4,53.84,14.48,238,23,"john.forsman254@somemail.com","10.40782/abc.def"
"5","CAN",1995,393,56.65,16.35,49.67,22.16,64.36,5.36,189,19.26,"jen.wegman849@somemail.com","10.28982/abc.def"
"6","CAN",1995,183,77.08,15.08,55.31,12.31,51.89,7.23,176,26.25,"lou.venear122@somemail.com","10.6326/abc.def"
"7","UK",2011,336,73.09,16.53,56.08,21.91,56.75,10.2,187,19.54,"lucas.laalo111@somemail.com","10.33169/abc.def"
"8","USA",2011,481,58.68,12.3,43.75,11.94,57.62,5.86,342,24.04,"otis.laalo448@somemail.com","10.58848/abc.def"
"9","USA",2015,392,48.38,16.63,54.95,16.82,59.75,12.06,208,21,"otis.wegman966@somemail.com","10.64643/abc.def"
"10","UK",2005,370,44.6,14,53.62,-3.59,50.95,8.59,145,20,"lucas.deantonnetti327@somemail.com","10.40010/abc.def"
"11","USA",2004,312,73.46,17.61,47.36,15.15,53.93,1.56,211,23.93,"kassem.deantonnetti181@somemail.com","10.93319/abc.def"
"12","CAN",2021,501,63.11,15.66,49.68,15.47,61.93,10.79,447,20,"ricardo.wegman950@somemail.com","10.98506/abc.def"
"13","CAN",2006,437,64.91,13,51.28,15.26,54.44,9.95,338,24.27,"lucas.venear817@somemail.com","10.34969/abc.def"
"14","UK",2022,542,63.48,16.18,47.89,9.18,54.79,8.03,284,20.5,"erica.underbeck853@somemail.com","10.22848/abc.def"
"15","CAN",2006,468,66.57,15.23,49.29,9.78,51.92,13.69,263,22.14,"erica.forsman989@somemail.com","10.42876/abc.def"
"16","CAN",2020,343,87.28,14.77,49.11,20.42,53.66,10.38,308,23.45,"erica.forsman816@somemail.com","10.17034/abc.def"
"17","CAN",2021,51,53.34,16.55,46.95,16.27,53.16,10.11,34,22.66,"ricardo.wegman925@somemail.com","10.48784/abc.def"
"18","USA",2013,435,59.18,16.09,52.03,28.72,55,12.28,308,23.05,"otis.forsman841@somemail.com","10.15160/abc.def"
"19","CAN",1995,357,58.55,12.56,51.15,17.9,49.23,8.95,272,19.54,"jen.venear593@somemail.com","10.63798/abc.def"
"20","UK",2007,392,59.91,18.65,44.32,11.54,55.48,5.92,360,24.79,"kassem.venear388@somemail.com","10.20585/abc.def"
"21","CAN",2013,414,86.09,15.97,45.77,17.4,62.43,14.76,350,22.11,"lou.reeland156@somemail.com","10.1670/abc.def"
"22","USA",2006,471,39.99,14.79,50.96,16.82,55.45,8.24,363,21.52,"ricardo.jahiri344@somemail.com","10.58189/abc.def"
"23","USA",2018,362,68.96,17.24,55.55,23.02,41.33,8.13,158,24.22,"jen.underbeck217@somemail.com","10.25027/abc.def"
"24","UK",2014,209,65.71,18.33,44.33,18.35,51.62,14.71,175,24.11,"john.jahiri833@somemail.com","10.3768/abc.def"
"25","USA",2009,336,59.82,16.82,52.4,21.51,63.85,8.84,277,21.49,"tracy.reeland954@somemail.com","10.14429/abc.def"
"26","UK",2011,364,64.56,16.54,49.46,16.38,50.76,2.79,267,22.3,"ricardo.laalo969@somemail.com","10.97254/abc.def"
"27","CAN",1992,473,50.04,14.77,49.34,16.98,58.03,8.68,354,21.07,"kassem.underbeck211@somemail.com","10.43174/abc.def"
"28","CAN",2012,505,74.94,16.44,46.98,17.71,66.03,6.63,376,19.29,"erica.wegman385@somemail.com","10.46799/abc.def"
"29","USA",2018,470,61.91,12.78,42.2,5.78,54.43,8.29,354,22.56,"otis.wegman942@somemail.com","10.11892/abc.def"
"30","USA",2007,296,72.82,13.34,48.88,27.34,59.59,13.51,221,21.86,"pascal.reeland826@somemail.com","10.86191/abc.def"
"31","CAN",1989,436,71.79,17.83,46.3,9.47,48.67,12.51,331,21.13,"ricardo.underbeck533@somemail.com","10.24876/abc.def"
"32","CAN",2016,412,83.1,16.33,50.72,13.12,53.86,11.69,373,22.8,"lou.venear271@somemail.com","10.31006/abc.def"
"33","CAN",2005,279,47.22,17.78,45,12.13,62.5,8.41,240,19.82,"lou.deantonnetti590@somemail.com","10.82058/abc.def"
"34","UK",2003,433,53.29,17.49,50.46,8.46,56.88,10.25,351,20.06,"erica.wegman382@somemail.com","10.69034/abc.def"
"35","USA",2019,289,65.08,14.35,50.56,14.71,63.88,9.43,177,21.68,"lou.venear259@somemail.com","10.62178/abc.def"
"36","CAN",1993,424,68.95,14.98,51.15,11.36,54.46,2.21,354,20.82,"otis.jahiri314@somemail.com","10.67727/abc.def"
"37","USA",2017,321,57.6,16.85,48.75,14.95,53.66,11.7,254,23.18,"erica.wegman572@somemail.com","10.3846/abc.def"
"38","USA",1995,335,91.48,18.3,44.51,13.38,45.33,14.28,252,23.26,"lou.forsman274@somemail.com","10.34856/abc.def"
"39","USA",2010,371,67.64,18.61,55.74,18.9,51.76,6.22,252,21.77,"lucas.wegman799@somemail.com","10.53824/abc.def"
"40","UK",2008,347,55.42,16.25,53.66,15.52,58.92,13.76,188,24.22,"lucas.underbeck102@somemail.com","10.97849/abc.def"
"41","CAN",2018,410,80.45,15.31,53.52,10.78,52.23,13.68,287,24.89,"kassem.deantonnetti817@somemail.com","10.55928/abc.def"
"42","CAN",1998,452,66.92,16.42,52.12,16.06,57.28,10.43,277,18.57,"tracy.jahiri289@somemail.com","10.99172/abc.def"
"43","CAN",2015,345,81.3,20.72,47.02,8.67,55.84,7,278,20.39,"erica.jahiri291@somemail.com","10.1568/abc.def"
"44","USA",2007,385,57.32,14.77,45.87,13.66,59.87,6.14,337,19.8,"john.laalo545@somemail.com","10.48805/abc.def"
"45","USA",1997,291,68.67,13.59,59.53,12.78,56.36,7.86,283,23.17,"otis.underbeck859@somemail.com","10.85199/abc.def"
"46","USA",2021,571,72.44,13.83,52.19,14.08,49.38,9.62,448,21.9,"john.reeland496@somemail.com","10.33882/abc.def"
"47","CAN",1993,219,58.46,14.64,43.97,17.92,52.43,10.58,169,22.1,"otis.deantonnetti573@somemail.com","10.19014/abc.def"
"48","UK",2006,261,56.87,18.19,53.54,20.48,52.85,14.72,214,25.94,"john.venear916@somemail.com","10.31308/abc.def"
"49","CAN",1995,361,51.18,17.67,51.55,17.57,55.08,10.62,355,22.97,"lucas.wegman108@somemail.com","10.6963/abc.def"
"50","UK",1993,459,62.97,16.31,51.63,21.76,54.62,16.83,232,20.94,"kassem.laalo281@somemail.com","10.36908/abc.def"
